geracao,hipervolume
0,0.50673
1,0.517231
2,0.524367
3,0.542505
4,0.55348
5,0.55672
6,0.567872
7,0.570186
8,0.572893
9,0.585389
10,0.592199
11,0.592478
12,0.597527
13,0.59998
14,0.601609
15,0.604868
16,0.605471
17,0.611776
18,0.617493
19,0.61959
20,0.621469
21,0.621615
22,0.617075
23,0.617075
24,0.618014
25,0.625033
26,0.627406
27,0.628827
28,0.635321
29,0.636289
30,0.642968
31,0.642968
32,0.645743
33,0.649154
34,0.620354
35,0.622968
36,0.627014
37,0.629723
38,0.633871
39,0.634561
40,0.635192
41,0.63369
42,0.636186
43,0.640029
44,0.641893
45,0.642611
46,0.642844
47,0.640638
48,0.640713
49,0.641259
50,0.644224
51,0.645992
52,0.639605
53,0.640602
54,0.64082
55,0.640914
56,0.643032
57,0.643032
58,0.645038
59,0.64499
60,0.646665
61,0.647111
62,0.647757
63,0.64782
64,0.6496
65,0.650955
66,0.651094
67,0.650955
68,0.65133
69,0.651515
70,0.651788
71,0.653508
72,0.654809
73,0.655218
74,0.655266
75,0.655439
76,0.659411
77,0.659858
78,0.661393
79,0.661828
80,0.663932
81,0.664036
82,0.664142
83,0.664142
84,0.666742
85,0.653227
86,0.654586
87,0.618005
88,0.620172
89,0.620277
90,0.616086
91,0.616325
92,0.617995
93,0.61886
94,0.61898
95,0.619316
96,0.619316
97,0.619316
98,0.62062
99,0.620812
