tempo,demanda,alpha,beta
8.60663,480,0.1,0
8.60663,480,0.2,0
140.786,3770,0.2,0.3
8.60663,480,0.3,0
8.60663,480,0.4,0
140.786,3770,0.4,0.6
8.60663,480,0.5,0
128.332,3530,0.5,0.1
129.752,3710,0.5,0.2
140.786,3770,0.5,0.7
8.60663,480,0.6,0
140.786,3770,0.6,0.9
8.60663,480,0.7,0
108.429,3200,0.7,0.1
140.786,3770,0.7,1
8.60663,480,0.8,0
109.135,3295,0.8,0.1
129.752,3710,0.8,0.3
8.60663,480,0.9,0
109.135,3295,0.9,0.1
128.332,3530,0.9,0.2
8.60663,480,1,0
95.1017,2910,1,0.1
128.332,3530,1,0.2
129.752,3710,1,0.4
